country,country_code,lat,lon,indicator_name,indicator_code,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006
Nepal,NPL,28.394857,84.124008,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.900716315,0.880707846,0.92705546,0.947369575,0.962150318,1.098333254,1.447648566,1.592250387,1.793292582,1.929159909,1.749110206
Netherlands,NLD,52.132633,5.291266,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.756607736,1.659273183,1.580648061,1.589825426,1.446633383,1.453546915,1.445699806,1.461303291,1.441389169,1.409984073,1.406220866
New Zealand,NZL,-40.900557,174.885971,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.781881485,1.703970844,1.695296045,1.619313415,1.576698737,1.472279197,1.384799751,1.350050518,1.254472402,1.211426572,1.311668768
Nicaragua,NIC,12.865416,-85.207229,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.731956684,0.689541542,0.566758651,0.554528379,0.603283295,0.526806207,0.666800676,0.663388005,0.56323748,0.539815888,0.549418307
Niger,NER,17.607789,8.081666,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.875252887,0.93759862,1.061072958,1.166908052,1.116838488,1.276297335,0.951877314,0.900787402,1.03546627,0.96319804,null
Nigeria,NGA,9.081999,8.675277,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.548403072,0.616522625,0.893408121,1.370673263,0.794728868,1.292833438,1.517184604,0.868306853,0.728541184,0.600638304,0.533693958
Norway,NOR,60.472024,8.468946,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.163072923,2.016079571,2.156737667,2.039107183,1.705831873,1.70454146,2.080591931,1.974854487,1.848785144,1.582298529,1.450901724
Oman,OMN,21.512583,55.923255,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,12.54277105,12.47721488,12.47824432,11.37644374,10.7804709,12.47442943,12.36813903,12.13724123,12.01058646,11.74964438,10.82916943
Pakistan,PAK,30.375321,69.345116,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.037243187,5.621188711,5.415184027,5.189936356,4.168723803,4.18064868,4.39063983,4.409670263,4.263745927,4.200140866,3.645255204
Papua New Guinea,PNG,-6.314993,143.95555,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.52869148,1.615910503,1.321185094,1.038943386,0.960373056,0.822407972,0.568830166,0.547450481,0.622029921,0.626076587,0.566372729
Paraguay,PRY,-23.442503,-58.443832,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.485134106,1.778566941,1.63134968,1.466175395,1.420167165,1.257068867,1.166881088,1.017620668,1.110855481,0.941953448,1.052394618
Peru,PER,-9.189967,-75.015152,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.526436883,2.027307059,2.057680243,1.976345086,1.762559252,1.737277225,1.532245927,1.517199528,1.380700638,1.510833543,1.373440681
Philippines,PHL,12.879721,121.774017,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.268405587,1.914459009,1.697292298,1.615777189,1.608226684,1.471378841,1.473890237,1.550844833,1.36062655,1.331795207,1.315163905
Poland,POL,51.919438,19.145136,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.92782372,2.0062285,2.001867774,1.901135771,1.830336585,1.905638001,1.900638649,1.908042037,1.873241006,1.92612987,1.920044792
Portugal,PRT,39.399872,-8.224454,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.120795734,2.040702659,1.883733342,1.888010565,1.862356047,1.912719868,1.938563127,1.885216531,1.965918023,2.047303882,1.949969959
Qatar,QAT,25.354826,51.183884,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,null,null,null,null,null,null,3.929969922,3.33399484,2.433859686,1.993016269,1.75049975
Romania,ROU,45.943161,24.96676,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.352684608,2.998937292,2.987822717,2.640259267,2.498914184,2.420745188,2.287296075,2.088487134,2.007657561,1.981935276,1.822571075
Russian Federation,RUS,61.52401,105.318756,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.036457815,4.340747065,2.936226042,3.302102339,3.553192072,3.810322465,4.040201724,3.944191242,3.546110483,3.578058264,3.486889246
